latitude,longitude,probability,probability_str
37.19916594,-80.56238045,0.000549921,0.000549921
37.19963183,-80.56238045,0.000584141,0.000584141
37.20009772,-80.56238045,0.000616534,0.000616534
37.2005636,-80.56238045,0.000646575,0.000646575
37.20102949,-80.56238045,0.000673755,0.000673755
37.20149538,-80.56238045,0.000697602,0.000697602
37.20196127,-80.56238045,0.000717687,0.000717687
37.20242716,-80.56238045,0.000733643,0.000733643
37.20289305,-80.56238045,0.000745171,0.000745171
37.20335894,-80.56238045,0.000752055,0.000752055
37.20382483,-80.56238045,0.000754163,0.000754163
37.20429072,-80.56238045,0.000751454,0.000751454
37.20475661,-80.56238045,0.000743981,0.000743981
37.20522249,-80.56238045,0.000731885,0.000731885
37.20568838,-80.56238045,0.000715396,0.000715396
37.20615427,-80.56238045,0.000694819,0.000694819
37.20662016,-80.56238045,0.000670531,0.000670531
37.20708605,-80.56238045,0.000642966,0.000642966
37.20755194,-80.56238045,0.000612603,0.000612603
37.20801783,-80.56238045,0.000579952,0.000579952
37.20848372,-80.56238045,0.000345085,0.000345085
37.19916594,-80.56189911,0.000583207,0.000583207
37.19963183,-80.56189911,0.000619499,0.000619499
37.20009772,-80.56189911,0.000653853,0.000653853
37.2005636,-80.56189911,0.000685712,0.000685712
37.20102949,-80.56189911,0.000714538,0.000714538
37.20149538,-80.56189911,0.000739828,0.000739828
37.20196127,-80.56189911,0.000761129,0.000761129
37.20242716,-80.56189911,0.000778051,0.000778051
37.20289305,-80.56189911,0.000790277,0.000790277
37.20335894,-80.56189911,0.000797577,0.000797577
37.20382483,-80.56189911,0.000799812,0.000799812
37.20429072,-80.56189911,0.00079694,0.00079694
37.20475661,-80.56189911,0.000789014,0.000789014
37.20522249,-80.56189911,0.000776186,0.000776186
37.20568838,-80.56189911,0.000758699,0.000758699
37.20615427,-80.56189911,0.000736876,0.000736876
37.20662016,-80.56189911,0.000711118,0.000711118
37.20708605,-80.56189911,0.000681885,0.000681885
37.20755194,-80.56189911,0.000649684,0.000649684
37.20801783,-80.56189911,0.000615057,0.000615057
37.20848372,-80.56189911,0.000365973,0.000365973
37.19916594,-80.56141777,0.000614565,0.000614565
37.19963183,-80.56141777,0.000652808,0.000652808
37.20009772,-80.56141777,0.00068901,0.00068901
37.2005636,-80.56141777,0.000722582,0.000722582
37.20102949,-80.56141777,0.000752957,0.000752957
37.20149538,-80.56141777,0.000779607,0.000779607
37.20196127,-80.56141777,0.000802054,0.000802054
37.20242716,-80.56141777,0.000819885,0.000819885
37.20289305,-80.56141777,0.000832769,0.000832769
37.20335894,-80.56141777,0.000840461,0.000840461
37.20382483,-80.56141777,0.000842817,0.000842817
37.20429072,-80.56141777,0.00083979,0.00083979
37.20475661,-80.56141777,0.000831438,0.000831438
37.20522249,-80.56141777,0.000817921,0.000817921
37.20568838,-80.56141777,0.000799493,0.000799493
37.20615427,-80.56141777,0.000776497,0.000776497
37.20662016,-80.56141777,0.000749354,0.000749354
37.20708605,-80.56141777,0.000718549,0.000718549
37.20755194,-80.56141777,0.000684616,0.000684616
37.20801783,-80.56141777,0.000648128,0.000648128
37.20848372,-80.56141777,0.000385651,0.000385651
37.19916594,-80.56093643,0.00064348,0.00064348
37.19963183,-80.56093643,0.000683522,0.000683522
37.20009772,-80.56093643,0.000721427,0.000721427
37.2005636,-80.56093643,0.000756578,0.000756578
37.20102949,-80.56093643,0.000788383,0.000788383
37.20149538,-80.56093643,0.000816287,0.000816287
37.20196127,-80.56093643,0.00083979,0.00083979
37.20242716,-80.56093643,0.00085846,0.00085846
37.20289305,-80.56093643,0.00087195,0.00087195
37.20335894,-80.56093643,0.000880004,0.000880004
37.20382483,-80.56093643,0.000882471,0.000882471
37.20429072,-80.56093643,0.000879301,0.000879301
37.20475661,-80.56093643,0.000870556,0.000870556
37.20522249,-80.56093643,0.000856403,0.000856403
37.20568838,-80.56093643,0.000837108,0.000837108
37.20615427,-80.56093643,0.00081303,0.00081303
37.20662016,-80.56093643,0.00078461,0.00078461
37.20708605,-80.56093643,0.000752356,0.000752356
37.20755194,-80.56093643,0.000716827,0.000716827
37.20801783,-80.56093643,0.000678621,0.000678621
37.20848372,-80.56093643,0.000403796,0.000403796
37.19916594,-80.56045509,0.000669459,0.000669459
37.19963183,-80.56045509,0.000711118,0.000711118
37.20009772,-80.56045509,0.000750553,0.000750553
37.2005636,-80.56045509,0.000787124,0.000787124
37.20102949,-80.56045509,0.000820213,0.000820213
37.20149538,-80.56045509,0.000849243,0.000849243
37.20196127,-80.56045509,0.000873694,0.000873694
37.20242716,-80.56045509,0.000893118,0.000893118
37.20289305,-80.56045509,0.000907153,0.000907153
37.20335894,-80.56045509,0.000915533,0.000915533
37.20382483,-80.56045509,0.000918098,0.000918098
37.20429072,-80.56045509,0.000914801,0.000914801
37.20475661,-80.56045509,0.000905703,0.000905703
37.20522249,-80.56045509,0.000890979,0.000890979
37.20568838,-80.56045509,0.000870905,0.000870905
37.20615427,-80.56045509,0.000845855,0.000845855
37.20662016,-80.56045509,0.000816287,0.000816287
37.20708605,-80.56045509,0.00078273,0.00078273
37.20755194,-80.56045509,0.000745767,0.000745767
37.20801783,-80.56045509,0.000706019,0.000706019
37.20848372,-80.56045509,0.000420098,0.000420098
37.19916594,-80.55997375,0.000692046,0.000692046
37.19963183,-80.55997375,0.000735111,0.000735111
37.20009772,-80.55997375,0.000775876,0.000775876
37.2005636,-80.55997375,0.000813681,0.000813681
37.20102949,-80.55997375,0.000847886,0.000847886
37.20149538,-80.55997375,0.000877896,0.000877896
37.20196127,-80.55997375,0.000903172,0.000903172
37.20242716,-80.55997375,0.000923252,0.000923252
37.20289305,-80.55997375,0.000937759,0.000937759
37.20335894,-80.55997375,0.000946422,0.000946422
37.20382483,-80.55997375,0.000949074,0.000949074
37.20429072,-80.55997375,0.000945666,0.000945666
37.20475661,-80.55997375,0.000936261,0.000936261
37.20522249,-80.55997375,0.00092104,0.00092104
37.20568838,-80.55997375,0.000900288,0.000900288
37.20615427,-80.55997375,0.000874393,0.000874393
37.20662016,-80.55997375,0.000843828,0.000843828
37.20708605,-80.55997375,0.000809139,0.000809139
37.20755194,-80.55997375,0.000770929,0.000770929
37.20801783,-80.55997375,0.00072984,0.00072984
